Date,Miner Revenue
2011-06-27,7475.76275026
2011-06-28,8476.28861007
2011-06-29,8019.58238743
2011-06-30,8620.00802719
2011-07-01,9567.57090546
2011-07-02,8668.84183545
2011-07-03,8464.42533557
2011-07-04,8263.27006927
2011-07-05,8516.46074622
2011-07-06,6968.68916213
2011-07-07,7867.00323248
2011-07-08,6563.69918696
2011-07-09,8263.39478229
2011-07-10,7462.77588151
2011-07-11,6863.19902988
2011-07-12,7864.15022016
2011-07-13,7062.55909822
2011-07-14,9565.24371017
2011-07-15,7213.38272081
2011-07-16,8116.79000757
2011-07-17,7860.75447917
2011-07-18,8512.0536394
2011-07-19,8512.94699348
2011-07-20,7114.83125787
2011-07-21,7460.43802578
2011-07-22,7608.86043985
2011-07-23,7563.87055574
2011-07-24,7307.39407406
2011-07-25,8311.75044893
2011-07-26,8260.69080373
2011-07-27,8807.63834995
2011-07-28,8709.03092954
2011-07-29,7757.55650755
2011-07-30,8207.28497624
2011-07-31,7605.45750834
2011-08-01,8756.93847374
2011-08-02,8257.9354235
2011-08-03,7707.24631224
2011-08-04,7858.09375445
2011-08-05,6457.8835978
2011-08-06,7006.62537998
2011-08-07,6123.70311849
2011-08-08,6306.64379373
2011-08-09,6807.95948352
2011-08-10,7311.65018984
2011-08-11,7610.68175176
2011-08-12,6857.09581985
2011-08-13,6556.28972454
2011-08-14,6507.37734769
2011-08-15,6609.84656947
2011-08-16,6459.58395511
2011-08-17,7359.75041709
2011-08-18,6806.90419579
2011-08-19,7206.0709869
2011-08-20,6557.73290399
2011-08-21,7605.39711589
2011-08-22,8005.42676264
2011-08-23,8457.58704791
2011-08-24,7756.96246633
2011-08-25,6708.8183626
2011-08-26,6755.96864237
2011-08-27,7354.69004676
2011-08-28,6105.14345046
2011-08-29,5804.31843854
2011-08-30,6905.5127049
2011-08-31,7309.8799633
2011-09-01,7755.82417001
2011-09-02,6455.50330151
2011-09-03,7806.85966214
2011-09-04,7253.78630354
2011-09-05,6710.09660248
2011-09-06,7806.94492577
2011-09-07,7556.63597124
2011-09-08,6808.10697566
2011-09-09,6454.56678507
2011-09-10,7707.76884921
2011-09-11,6655.33416102
2011-09-12,6255.22516294
2011-09-13,6655.12234141
2011-09-14,7104.20222359
2011-09-15,7303.89359069
2011-09-16,7807.25705885
2011-09-17,5954.95936812
2011-09-18,6705.21074605
2011-09-19,7905.4143908
2011-09-20,6355.88476262
2011-09-21,7006.5208347
2011-09-22,7305.26628176
2011-09-23,7403.79354479
2011-09-24,6654.10038145
2011-09-25,6456.81584932
2011-09-26,6853.3184642
2011-09-27,6702.92490596
2011-09-28,6654.70787361
2011-09-29,7354.39503342
2011-09-30,6253.30341206
2011-10-01,6103.81667071
2011-10-02,7153.57949369
2011-10-03,6053.18605542
2011-10-04,7259.07285772
2011-10-05,5603.56885208
2011-10-06,7253.88064901
2011-10-07,6408.35296635
2011-10-08,6904.06618831
2011-10-09,5953.35053522
2011-10-10,6352.90128569
2011-10-11,6153.41794749
2011-10-12,4655.40075173
2011-10-13,6004.79396967
2011-10-14,4853.76815092
2011-10-15,6953.37394904
2011-10-16,6703.35847983
2011-10-17,5953.21302504
2011-10-18,5904.47937142
2011-10-19,6002.92512318
2011-10-20,6653.10009553
2011-10-21,5755.945581
2011-10-22,6052.67537394
2011-10-23,4902.94977161
2011-10-24,5403.0957275
2011-10-25,6353.48695513
2011-10-26,6452.67374565
2011-10-27,5853.13778863
2011-10-28,5002.84283905
2011-10-29,5252.80157683
2011-10-30,5653.6562157
2011-10-31,5553.08731724
2011-11-01,6553.17315967
2011-11-02,7505.06672556
2011-11-03,7703.22121713
2011-11-04,6252.89339695
2011-11-05,7353.09651899
2011-11-06,7303.7509394
2011-11-07,7202.20723719
2011-11-08,6603.52656792
2011-11-09,7454.09145684
2011-11-10,8053.36284143
2011-11-11,7053.28109673
2011-11-12,5952.16627619
2011-11-13,7152.34344029
2011-11-14,7202.89395222
2011-11-15,7152.71019744
2011-11-16,8253.09375572
2011-11-17,6753.5893076
2011-11-18,6953.04744897
2011-11-19,6653.21931668
2011-11-20,6153.14377243
2011-11-21,7154.09467568
2011-11-22,5902.58214243
2011-11-23,7002.94898789
2011-11-24,6703.5297893
2011-11-25,5653.93691281
2011-11-26,6754.39227399
2011-11-27,6002.73075646
2011-11-28,5702.5539407
2011-11-29,6353.07555433
2011-11-30,6905.03436591
2011-12-01,8102.9756703
2011-12-02,9104.53891441
2011-12-03,7304.53895389
2011-12-04,7604.64832001
2011-12-05,6802.850854
2011-12-06,7903.1576801
2011-12-07,8554.11239046
2011-12-08,6903.88469248
2011-12-09,8202.79302224
2011-12-10,7352.98004826
2011-12-11,7202.88171492
2011-12-12,7820.26891875
2011-12-13,6527.25090441
2011-12-14,6604.29630975
2011-12-15,7653.60771474
2011-12-16,5607.89071743
2011-12-17,5902.68758378
2011-12-18,7503.49735366
2011-12-19,7203.21175952
2011-12-20,7954.14417376
2011-12-21,6705.88158532
2011-12-22,7454.28248176
2011-12-23,7403.48331211
2011-12-24,7102.54099651
2011-12-25,7252.26243962
2011-12-26,8702.95722873
2011-12-27,8853.20939154
2011-12-28,7253.10599914
2011-12-29,7753.59361524
2011-12-30,6903.66615096
2011-12-31,7103.25513587
2012-01-01,7554.10688148
2012-01-02,7653.44370788
2012-01-03,7555.54740864
2012-01-04,7955.46500094
2012-01-05,7464.19312876
2012-01-06,7355.9533829
2012-01-07,8556.13445621
2012-01-08,9204.66858558
2012-01-09,8153.59259715
2012-01-10,8206.52666106
2012-01-11,7054.76118333
2012-01-12,7655.68863139
2012-01-13,7791.32223565
2012-01-14,7012.63861056
2012-01-15,7510.17800219
2012-01-16,6973.02838049
2012-01-17,8779.07327978
2012-01-18,7857.80493651
2012-01-19,6410.67030143
2012-01-20,7527.44711645
2012-01-21,7324.25790657
2012-01-22,8154.44828397
2012-01-23,6802.83809587
2012-01-24,8504.93322722
2012-01-25,6959.69517255
2012-01-26,7409.90124733
2012-01-27,6904.54825291
2012-01-28,7071.49825662
2012-01-29,7256.879423
2012-01-30,8569.66343439
2012-01-31,8628.37913881
2012-02-01,7508.21220867
2012-02-02,7053.5872108
2012-02-03,7961.24391681
2012-02-04,7907.14069103
2012-02-05,7858.42028009
2012-02-06,7104.23219624
2012-02-07,7304.45452233
2012-02-08,6856.39615213
2012-02-09,7255.13418159
2012-02-10,7257.36132278
2012-02-11,6904.2245492
2012-02-12,7503.86008926
2012-02-13,7903.76758105
2012-02-14,6855.48199454
2012-02-15,6915.76436781
2012-02-16,6706.72396705
